onset	duration	trial_type	rating
0.03	17.44	fixation_cross	n/a
17.47	3.01	instruction	n/a
20.48	20.06	control_moving_bars	n/a
40.55	4.54	rating	4
45.08	18.27	fixation_cross	n/a
63.35	3.01	instruction	n/a
66.36	20.06	watch_moving_bars	n/a
86.42	19.75	fixation_cross	n/a
106.17	3.01	instruction	n/a
109.18	20.03	watch_static_bars	n/a
129.22	19.39	fixation_cross	n/a
148.61	3.01	instruction	n/a
151.62	20.06	control_moving_bars	n/a
171.68	2	rating	4
173.68	19.89	fixation_cross	n/a
193.56	3.01	instruction	n/a
196.58	20.11	watch_moving_bars	n/a
216.68	18.97	fixation_cross	n/a
235.65	3.01	instruction	n/a
238.66	20.06	control_moving_bars	n/a
258.73	1.89	rating	4
260.61	17.11	fixation_cross	n/a
277.73	3.01	instruction	n/a
280.74	20.03	watch_static_bars	n/a
300.77	19.56	fixation_cross	n/a
320.33	3.01	instruction	n/a
323.34	20.06	watch_moving_bars	n/a
343.4	19.81	fixation_cross	n/a
363.22	3.01	instruction	n/a
366.23	20.06	watch_moving_bars	n/a
386.29	19.05	fixation_cross	n/a
405.34	3.01	instruction	n/a
408.35	20.03	watch_static_bars	n/a
428.38	19.28	fixation_cross	n/a
447.66	3.01	instruction	n/a
450.67	20.06	watch_moving_bars	n/a
470.73	19.24	fixation_cross	n/a
489.97	3.01	instruction	n/a
492.98	20.06	control_moving_bars	n/a
513.04	1.9	rating	3
514.96	18.19	fixation_cross	n/a
533.15	3.01	instruction	n/a
536.16	20.03	watch_static_bars	n/a
556.19	18.97	fixation_cross	n/a
575.16	3.01	instruction	n/a
578.17	20.03	watch_static_bars	n/a
598.2	17.52	fixation_cross	n/a
615.72	3.01	instruction	n/a
618.73	20.06	control_moving_bars	n/a
638.79	1.86	rating	3
