onset	duration	trial_type	rating
0.04	17.43	fixation_cross	n/a
17.47	3.01	instruction	n/a
20.48	20.03	watch_static_bars	n/a
40.51	18.27	fixation_cross	n/a
58.78	3.01	instruction	n/a
61.79	20.06	control_moving_bars	n/a
81.85	3.26	rating	4
85.11	19.74	fixation_cross	n/a
104.84	3.01	instruction	n/a
107.86	20.07	watch_moving_bars	n/a
127.92	19.39	fixation_cross	n/a
147.31	3.01	instruction	n/a
150.32	20.05	control_moving_bars	n/a
170.36	1.33	rating	4
171.7	19.89	fixation_cross	n/a
191.58	3.01	instruction	n/a
194.59	20.04	watch_static_bars	n/a
214.63	18.98	fixation_cross	n/a
233.6	3	instruction	n/a
236.6	20.06	control_moving_bars	n/a
256.66	1.13	rating	3
257.8	17.11	fixation_cross	n/a
274.9	3.01	instruction	n/a
277.91	20.05	watch_moving_bars	n/a
297.96	19.57	fixation_cross	n/a
317.52	3	instruction	n/a
320.53	20.07	watch_moving_bars	n/a
340.6	19.81	fixation_cross	n/a
360.4	3.01	instruction	n/a
363.42	20.03	watch_static_bars	n/a
383.44	19.05	fixation_cross	n/a
402.5	3.01	instruction	n/a
405.5	20.05	watch_static_bars	n/a
425.55	19.28	fixation_cross	n/a
444.84	3.01	instruction	n/a
447.85	20.05	control_moving_bars	n/a
467.9	3.15	rating	3
471.05	19.23	fixation_cross	n/a
490.28	3.01	instruction	n/a
493.29	20.06	watch_moving_bars	n/a
513.34	18.18	fixation_cross	n/a
531.53	3.01	instruction	n/a
534.54	20.06	control_moving_bars	n/a
554.6	2.03	rating	4
556.63	18.97	fixation_cross	n/a
575.6	3.01	instruction	n/a
578.61	20.03	watch_static_bars	n/a
598.64	17.52	fixation_cross	n/a
616.16	3.01	instruction	n/a
619.17	20.06	watch_moving_bars	n/a
